title,category,spec,price
Avc 12v 4.50a Dytb0838b2g-p141 97 X97 X33mm Turbine Centrifugal Double Ball Bearing Fan,"DC Cooling Fan,Cooling Fans,Server Fan","Type==Air Cooling Fan,Voltage==Dc 12V,Size==97 x 97 x 33mm,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc.,Model Name/Number==DYTB0838B2G-P141,Power==54W,Color==Black,Material==Plastic,Power Source==Battery,Current==4.50A,Brand==AVC",980
KD1212PTB2-6A Size 120x120x25mm DC12V 3.6W 1600RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan,Server Fan","Type==Air Cooling Fan,Voltage==Dc 12V,Size==120x120x25mm,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc.,Model Name/Number==KD1212PTB2-6A,Power==3.6W,Color==Black,Material==Plastic,Power Source==Battery,Air Volume==55CFM,Speed==1600RPM,Current==0.3A,Brand==Sunon",475
PMD1207PKB1-A Size 70x70x20 mm DC12V 4.7W 4600 RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Type==Air Cooling Fan,Voltage==Dc 12v,Size==70x70x20 mm,Usage/Application==Suitable for 3D printers \, Makerbot accessories \, Computer CPU cooler etc.,Model Name/Number==PMD1207PKB1-A,Power==4.7W,Color==Black,Material==Plastic,Power Source==Battery,Speed==4600 RPM,Current==0.39A,Brand==Delta",280
"Stainless Steel Wall Mount Racks, 50-100 Kg, White",Wall Mount Racks,"No. of Shelves==5 Shelves,Capacity==50-100 Kg,Finishing==Powder Coated,Material==Stainless Steel,Color==White",
HS 12x101x151 HSS-EX M35 SUS DIN338 TiN,Solid Carbide Drill,"Color==Copper,Surface Finishing==Powder Coated,Finishing Type==Powder Coated,Diameter==12x101x151mm,Hardness==150,Grade==A Grade,Packaging Type==Packet,Shape==Round,Brand Name==Carbiforce,Modal Number==DIN338 TiN,Size Type==M35",562
"White HDPE HGP Foam Insulating Tanks 5 Layer Double Puf, Storage Capacity: 1000L","Water Storage Tanks,Hdpe Tank","Storage Capacity==1000L,Material==HDPE,Color==White,Storage Material==Water,Capacity==500-1000 L,Layer Type==Five layer,Pattern==Plain,Country of Origin==Made in India",16.5
"Uv Marble Pvc Sheet, 3 mm",PVC Marble Sheet,"Length==4 Feet,Size==8x4 Feet,Color==Multicolor,Pattern==Printed,Is It Waterproof==yes,Thickness==3 mm,Material==PVC",1550
"Electric Water Pump Motor, Power: 1 HP","Water Pump Motor,Pump Motors","Phase==Single Phase,Color==Blue,Country of Origin==Made in India,Power==1 HP,Power Source==Electric",1650
"2X1.5 Plastic Air Cooler Wheels, Load Capacity: < 100 kg",Cooler Trolley Caster Wheel,"Load Capacity==< 100 kg,Per Wheel Size (inch)==2X1.5,Wheel Material==Plastic,Purpose==Cooler Trolley Wheels,Caster Material==Plastic,Color==Black,Condition==New,Packaging Type==Bag,Model No.==SWL-219,Warranty==1 year,Quantity Per Pack==200 pcs/50 set,Set Contains==4 Piece",8
PVC Gold / Silver Inkjet Sheet,Inkjet PVC Sheet,"Brand==Graphic Solutions,Usage/Application==Industrial,Color==White,Pattern==Plain,Surface Finish==Matt Finish,Operating Temperature==125 degrees,Size==A4 / A3,Material==PVC",17
"HIMPAC PP Hollow Corrugated Sheets, For Multi Use, Is this Recyclable: Reusable","PP Corrugated Sheets,Polypropylene Sheets","Thickness==2-12,Color==Blue,Color==Multicolour,Color==White,Color==Natural,Is this Recyclable==Reusable,Brand==HIMPAC",59
Tvs Radeon Fuel Pump,Fuel Pump Assembly,"Material==ABS Plastic,Max Flow Rate==150 LPM,Color==White (Base),Is It Rust Proof==Rust Proof,Warranty==1 Month Warranty,Usage/Application==Increase Pressure Of Fuel Flow,Automation Grade==Semi Automatic",2600
"POWERMAN 35T DL MACHENICAL STEEL SCREW JACK, For Automobile","Mechanical Jacks,Screw Jacks","Load Capacity==31-40 ton,Color==Silver,Capacity==31-40 Ton,Packaging Type==BOX PACK,Material==MILD STEEL,Dimension==130*130*160,Product Code==35TDL,Usage/Application==Automobile",850
"Round Cylindrical 3KG Mild Steel Tree Guard, For Industrial, Color Coated","Mild Steel Tree Guard,Tree Guard","Color==Green,Type==Cylindrical,Finish==Color Coated,Design==Round,Usage/Application==industrial,Material==Mild Steel",500
6 Wheeler TATA BS6 5530 S TC (MODEL NO BX EP33),"Four Wheeler Exhaust Pipe,Exhaust Bellow","Truck Model==Ultra,Gross Vehicle Weight==14 Tons,Engine Power==90 hp,Number of Wheels==6 Wheeler",8857
Mild Steel Welded Wire Mesh,"Mild Steel Welded Mesh,Square Wire Mesh,Welded Wire Mesh","Thickness==18 Gauge (1.2 mm),Hole Shape==Square,Mesh Size==25x25 mm,Surface Treatment==Mill Finish,Usage/Application==Machine Guards,Usage/Application==Fabrication,Usage/Application==Mining,Wire Diameter==6 mm,Packaging Type==Roll,Roll Length==30 Meter,Brand==DSE,Material==Mild Steel",55
"82 HP Dewatering Pump Rental Service, Rental Duration: 3month","Pump Rental Services,Dewatering Service","Usage/Application==Construction Site,Pump Type==82 HP DESEIL DEWATERING PUMP,Rental Duration==3month",115000
Pharmaceutical Spray Dryers,Spray Dryers,"Capacity==501-1000 kg/hr,Material==SS OR MS,Type==BOTH,Driven==DIRECT,Automation Grade==Automatic,Design==Customized",3500000
"Motorcycle Chain Lubrication Spray, Packaging Type: Bottle",Chain Lubrication Spray,"Unit Pack Size==150ml,Usage/Application==ANY CHAIN,Brand==NEXTON,Can Material==ALUMINIUM,Country of Origin==Made in India,Ideal For==Motorcycle,Packaging Type==Bottle",210
"Circular Vibro Sifter Machine, Capacity: 500 Kg Per Hour, Model Name/Number: ME-36","Vibro Sifter,Circular Vibratory Screen,Vibro Sieve","Capacity==500 Kg Per Hour,Material==Powder,Automation Grade==Automatic,Voltage==220 V,Material Grade==SS,Size==36,Diameter==36 Inch,Model Name/Number==ME-36,Usage/Application==Industrial",82000
Anti Vibration Pad - Joint Set - Rubber Piston - Pipe Coupling - Rubber Coupling,"Screw Compressor Spare,Anti Vibration Pads,Atlas Copco Compressor Parts","Shape==Ovel\, Round\, Square\, Recangular,Thickness==As Per Part no.,Color==Black,Application Industry==Screw Compressor / DG Set,Country of Origin==Made in India",200
Electric 1 Hp Water Pump Motor,"Water Pump Motor,Pump Motors","Phase==Single Phase,Brand==Sharp,Material==copper winding,Discharge Pressure==10 LPM,Motor Phase==Single Phase,Color==Black,Power==1 HP,Pump Type==Water Pump,Power Source==Electric",1900
"Stainless Steel Wire Mesh for UPVC Window, Material Grade: SS304",Stainless Steel Wire Mesh,"Usage/Application==Use for UPVC Window,Material Grade==SS304,Brand==Micro,Material==Stainless Steel,Surface Finish Coating==Natural Finish,Country of Origin==Made in India",15
CORTON STEEL 40 feet 40' Brand NEW SHIPPING CONTAINERS in MUNDRA,Shipping Containers,"Capacity==30-40 ton,Container Length==40 feet,Container Type==Dry Container,Place Of Origin==Pan India,Material==CORTON STEEL",395000
Electric Marine Blower Fan for Ventilation with PVC Flexible Air Hose Duct,"Ventilation Blowers,Duct Fans","Usage/Application==Commercial,Blade Material==CI,Voltage==220 V,No Of Blades==4 blades,Power Source==Electric",
APACHE RTR BIKE FUEL PUMP,Fuel Pump Assembly,"Max Flow Rate==150 LPM,Material==PLASTIC,Color==WHITE,Country of Origin==Made in India",2600
"Rectangular Rare Earth Magnet, N35, Thickness: 10 mm",Neodymium Block Magnets,"Shape==Bar (Block),Material==Neodymium,Applications==Automobiles & Vehicle Components,Dimensional Tolerance==+-0.05 mm,Plating / Coating==Ni-Cu-Ni,Colour==Silver,Maximum Working Temperature==200 Deg. C,SERVICE LOCATION==ALL OVER INDIA,Thickness==10 mm,Magnet Grade==N35",25
Submersible Sewage Pumps,"Sewage Pump,Submersible Sewage Pumps","Power==2 HP,Outlet Diameter==2inch,Solid Handling Capacity (mm)==40mm,Pipe diameter==50mm,Solid Handling Capacity==40mm,Suction Plate Material==Cast iron,Casing material==Cast Iron,Country of Origin==Made in India",17500
HDPE Spiral Tank,"Spiral HDPE Tank,Spiral Tanks,HDPE Chemical Tank","Storage Capacity(L)==50000 L,Storage Capacity==5000 L,Material==HDPE,Storage Material==Chemicals/Oils,Orientation Type==Vertical,Color==Black,Size==As per Requirement",9
"HDPE Spiral Tanks, 0-100 psi","Spiral HDPE Tank,Spiral Tanks,Chemical Storage Tanks","Capacity==5000-10000 L,Material==HDPE,Max Pressure==0-100 psi,Orientation Type==Vertical & Horizontal,Size==Customized,Color==Black,Country of Origin==Made in India",9
"20W40 ENGINE OIL FROM BHIND, Bottle Of 900 ML","Engine Oil,Four Stroke Engine Oil","Engine Oil Type==Full Synthetic,Vehicle Type==Bike,Country of Origin==Made in India,Packaging Size==Bottle of 900 mL,Viscosity==20W40",355
HDPE Spiral Storage Tank,"Spiral HDPE Tank,Spiral Tanks","Capacity==100000 litre,Brand==BK BROSON EXIM,Size==4000 mm Diameter,Wall Thickness==60 mm,Color==Black,Height==4 M,Warranty==1 year,Design Life==20 years,Body Material==HDPE,Country of Origin==Made in India",9
Industrial HDPE Storage Tank,"Spiral HDPE Tank,Spiral Tanks,HDPE Chemical Tank","Color==Black,I Deal In==New Only,Welding Standard==All Welding of Tank as per DVS Norms By German welding rods & German Extrusion weld gun,capcity==up to 75KL,Brand==BK BROSON EXIM,Storage Capacity==up to 75KL,Storage Material==Water \, Chemicals & Oil and Waste,Usage==Industrial,Warranty==1 YEAR,Country of Origin==Made in India",9.5
PH253 - R1AT / 1SN (Hydraulic Hose Make Polyhose),"Hydraulic Hose Pipe,Industrial Hoses","Material==Rubber,Size/Diameter==1/2 inch,Type==Hydraulic Hose Pipe,Usage/Application==Water,Brand==Polyhose,Shape==Round",500
G I Gabion Box,"Gabion Box,Gabion Mattress",,1200
"Royal Blue Polypropylene Twine, 50 m, 2 mm","Polypropylene Twine,Plastic Twine","Diameter==2 mm,Color==Royal Blue,Length==50 m,Filament Type==Monofilament,Strand Structure==2 Ply,Usage/ Application==Packaging,Product Twine Type==Plain,Material==Polypropylene",92
"CPVC SAE 100R2/2SN Hydraulic Hose, For Fire Fighting","Hydraulic Hose Pipe,Industrial Hoses,High Pressure Hydraulic Hoses","Material==CPVC,Size/Diameter==1 inch,Usage/Application==Fire Fighting,Length==6m,Shape==Round,Is It Flexible==Flexible,Color==Black,Product Code==SAE 100R2/2SN,Country of Origin==Made in India",220
Mild steel 6mm MS Grease Nipple,Grease Nipples,"Color==Silver,Finish==Zinc Plated,Pack Type==Box,Shape==Round,Usage==Machinery,Material==Mild steel,Thread Size==6mm",2.8
Electronics FFB0612EHE -S26S DC12V 1.20A 3Wire 3pin 6038 60x60x38mm Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Type==Air Cooling Fan,Voltage==12V,Size==6 x 6 x 3.8 cm; 110 Grams,Model Name/Number==FFB0612EHE -S26S,Power==7.2W,Color==Black,Material==Plastic,Power Source==Battery,Air Volume==67.80CFM 1.920m3/min,Speed==3800RPM,Current==1.20A,Brand==Delta",330
PGSA2Z CHA9212DS Size 92X92X25mm DC12V 0.26A 2500 RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Speed==2500 rpm,Size==3 inch,Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==12V,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecu,Power Source==Battery,Air Volume==400,Design Type==FAN,Radiator Type==DC COOLING FAN,Current==0.26A",280
2410RL-04W-B79 Size 60x60x25mm DC12V 0.35A 5300RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Type==Air Cooling Fan,Voltage==12V,Size==60x60x25mm,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc.,Model Name/Number==2410RL-04W-B79,Power==4.2W,Color==Black,Material==Plastic,Power Source==Battery,Air Volume==28.5CFM,Speed==5300RPM,Current==0.35A,Brand==DELTA",300
PGSA2Z DB04048B12U Size DC12V 1.14A 3800 RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Speed==2500 rpm,Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==12V,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecu,Power==13.68,Power Source==Battery,Air Volume==67.80CFM,Design Type==FAN,Radiator Type==DC COOLING FAN,Current==1.14A",600
PVA060G12M-P09-BE Size 60x60x25mm DC12V 0.22A 4800 RPM Brushless Air Cooling Fan,"DC Cooling Fan,Cooling Fans,DC Brushless Fan","Type==Air Cooling Fan,Voltage==Dc 12V,Size==60x60x25mm,Usage/Application==Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc.,Model Name/Number==PVA060G12M-P09-BE,Power==2.64W,Color==Black,Material==Plastic,Power Source==Battery,Air Volume==22 CFM,Speed==4800 RPM,Current==0.22A,Brand==DELTA",400
"Automatic Color Sorter For Multi Color Plastic, Single Phase","Grain Color Sorter,Plastic Color Sorter","Automation Grade==Automatic,No. of Chutes==More Than 12 Chutes,Electricity Supply==Single Phase,Voltage==220V\, 50Hz,Power Consumption==2.5 Kw,Camera==Tri-chromatic,Material==Steel,Work Air Pressure==0.2-0.3Mpa,Power Supply==6.7kW",500000
"Industrial Exhaust Fan, 45 W","Industrial Exhaust Fans,Axial Fans,Man Coolers","No of Blades==6,Wattage==45 W,Color==Gray,Remote Control==No,Country of Origin==Made in India",18000
"Round Vibro Sifter Machine, Capacity: 200 Kg Per Hour, Model Name/Number: ME-32","Vibro Sifter,Sifter Sieves,Vibro Sieve","Capacity==200 Kg Per hour,Material==Powder,Automation Grade==Automatic,Voltage==220 V,Material Grade==MS,Size==32,Diameter==32 Inch,Model Name/Number==ME-32,Usage/Application==Industrial",80000
"Vibro Shifter Exporter, Capacity: 300 Kg Per Hour, Model Name/Number: ME-36","Vibro Sifter,Vibrating Screens,Vibro Sieve","Capacity==300 Kg Per Hour,Material==Powder,Automation Grade==Automatic,Voltage==220 V,Material Grade==MS,Size==36 Inch,Diameter==36 Inch,Model Name/Number==ME-36,Usage/Application==Industrial",68000
R13 Hydraulic Hose Pipe,Hydraulic Hose Pipe,"Size/Diameter==3/4 inch,Shape==Round,Temperature Range==- 40 degree C to + 121 degree C,Color==Black,I Deal In==New Only,Country of Origin==Made in India",350
Dynemech CNC Machine Mounting Systems - Series DLK-4,"Rubber Mounting Pads,Anti Vibration Mounts","Tensile Strength==17 Mpa,Finishing==painted,Usage/Application==Applications: Textile Machines\,CNC Machines\,Power Presses\,Plastic injection Moulding Machines\,Pr,Product Type==Anti-Vibration,Application Industry==Construction,Weight==8KG Approx.,Shape==ROUND (show in picture),Material==Mild Steel,Height==50mm,Brand==Dynemech System (P) Ltd,Temperature==From -16 to 90,Temperature Range ( DegreeC)==From -16 to 90,Colour==Red powder coating,Load capacity==4000,Country of Origin==Made in India",2830
"10w30 Semi Synthetic Engine Oil., Barrel of 210 Litre",Synthetic Engine Oil,"Vehicle Type==Car,Brand==Lubri Chem,Vehicle Brand==use in Various Brand,Country of Origin==Made in India,Viscosity==10W30,Packaging Size==Barrel of 210 Litre",125
Galvanized Steel 40 Feet Marine Used Shipping Container,Used Shipping Containers,"Storage Capacity(T)==40 ton,Container Type==Dry Container,Color==Blue,Country of Origin==Made in India,Container Length==40 feet,Material==Galvanized Steel",180000
Diesel Bowser 2kl,Diesel Bowser,Material==Other Material,95000
"Black AFB0624EH-4J44 Delta Cooling Fan, Size: 60 X 60 X 25 mm","DC Cooling Fan,Cooling Fans","Type==Air Cooling Fan,Size==60 x 60 x 25 mm,Model Name/Number==AFB0624EH,Color==Black,Power Source==Electric,Brand==Delta,Speed==2600 RPM,Current==0.36 A,Fan Type==Axial,Termination==3 wires",450
1608KL-05W-B69 Cooling Fan,"Cooling Fans,DC Cooling Fan","Speed==3000 rpm,Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==24 V AC,Size==92 x 92 x 38 mm,Power Source==Electric,Current==0.13 A,Brand==NMB,Phase==1 Phase,Termination==2 Wires,Frequency==50-60 Hz,Fan Type==Axial,Model Name/Number==1608KL-05W-B69,Power==5 W",700
Transparent Acrylic Sheet,Acrylic Transparent Sheet,,105
"20W40 Best Engine Oil For 350cc Bike, Bottle of 900 mL","Bike Engine Oil,Engine Oil,Synthetic Engine Oil","Viscosity==20W40,Packaging Size==Bottle of 900 mL,Engine Oil Type==Conventional,Vehicle Brand==Bajaj Pulsar 180,Vehicle Brand==Bajaj Pulsar 220,Vehicle Brand==Hero Passion Pro,Vehicle Brand==Hero Splendor,Vehicle Brand==Honda Activa 3G,Vehicle Brand==Bajaj Dtsi,Vehicle Brand==Bajaj Pulsar 150,Vehicle Brand==Yamaha FZ,Vehicle Type==Bike,Vehicle Brand==Honda Activa 5G,Vehicle Brand==Honda Shine,Vehicle Brand==Honda Unicorn,Vehicle Brand==KTM Duke 200,Vehicle Brand==Royal Enfield Classic 350cc,Vehicle Brand==TVS Jupitar,Number Of Stroke==4,Country of Origin==Made in India",282
"10 mm Silicone Door Seal, 60-70 Shore A",Silicone Profile,"Length==100 meter,Hardness Shore==60-70 Shore A,Brand==Maksil,Country of Origin==Made in India,Thickness==10 mm,Material==Silicone",80
"Red Silicone Insulation Tape, Tape Width: 2 inch","Silicone Profile,Silicone Rubber Extrusions",,15
Transparent Silicone Tube,"Silicone Tube,Silicone Profile","Material==Premium grade silicone,Usage/Application==Used In Pharmaceuticals\, Food And Beverage\, Automotive,Length==100 meter,Shape==Round,Brand==Makvin,Country of Origin==Made in India,Size==20 mm,Color==Transparent,Diameter==10mm",100
Silicone Solid Profile,"Silicone Profile,Silicone Rubber Extrusions","Hardness==60 Shore A,Material==Silicone Rubber,Color==Blue,Size==1Inch,Usage/Application==Used For Sealing\, Insulation\, And Protection In Various Industries,Brand==Makvin,Temperature Range==High Temperature,Country of Origin==Made in India",220
"Fluorescent Silicone Tubes, Size: 10 mm","Silicone Tube,Silicone Profile","Size==10 mm,Color==Any as required,Material==Premium grade silicone,Shape==Round,Length==100 meter,Diameter==10mm,Brand==Makvin,Country of Origin==Made in India",100
Corona Treater Silicone Sleeve,"Silicone Rubber Sleeve,Silicone Tube","Hardness==60 Shore A,Temperature Range==High Temperature,Brand==Makvin,Material==Premium grade silicone",500
"Silicone Tube For Insulation Application, Size: 20 mm","Silicone Tube,Silicone Profile","Color==Any as required,Material==Premium Grade Silicone,Brand==Makvin,Temperature==High Temperature,Country of Origin==Made in India,Size==20 mm",50
"Silicone Pipe, Length of Pipe: 15 m",Silicone Tube,"Color==Any as required,Brand==Maksil,Temperature==High Temperature,Country of Origin==Made in India,Length of Pipe==15 m,Material==Silicone",200
"Silicone Dairy Tubings, Size: 30 mm","Silicone Tube,Silicone Profile","Color==Transparent,Material==Premium grade silicone,Brand==Makvin,Shape==Round,Usage/Application==Used For Transferring Bulk Milk Between Different Stages Of The Dairy Production Process.,Country of Origin==Made in India,Size==30 mm",110
Silicone Tube for Vending Machine,Silicone Tube,"Size==Any as required,Color==Transparent,Material==Premium grade silicone,Brand==Makvin,Temperature==High Temperature,Country of Origin==Made in India",50
"1m Plain Construction Fiberglass Mesh Fabric, 7019, Size: 50m","Fiberglass Mesh,Fiberglass Fabric","Usage/Application==Construction,Packaging Type==Roll,HSN Code==7019,Type Of Fibre==Alkaline Resistant Fiberglass,Pattern==Plain,Color==White,Grade Standard==A,Brand==UNIMESH,Size==50m,Width==1m,Material==Fiberglass,GSM==80 GSM,Country of Origin==Made in India",20
"Vibro Shifter for Pharmaceutical, Capacity: 500 Kg Per Hour","Vibro Sifter,Vibrating Screens,Vibro Sieve","Model Name/Number==ME-36,Usage/Application==Pharmaceutical Industry,Material==Powder,Automation Grade==Automatic,Material Grade==SS,Size==36 Inch,Capacity==500 Kg Per Hour",100000
"Vibro Shifter for Oil, Capacity: 300 Kg Per Hour, Model Name/Number: ME-32","Vibro Sifter,Circular Vibratory Screen,Vibro Sieve","Capacity==300 Kg Per Hour,Material==Liquid,Automation Grade==Automatic,Material Grade==SS,Size==32,Diameter==32 Inch,Model Name/Number==ME-32,Usage/Application==Industrial",90000
